,Unnamed: 0,Name of NGOs,Address,City,Pin Code,State,Mobile No(s).,Email,Website,Name of Contact Person,Purpose,About
61,61,"Gokul Vikas Trust, Ahmedabad"," 2214, Manek Chowk",Ahmedabad, 380001,Gujarat, 91-99250 48994 ,,, Shailesh Soni,Purpose: Technology up gradation in jewellery., To help the traditional artsion in jewellery sector.
62,62,"Gramshakti Shramjeevini Sangathan, Ahmedabad"," F 301, Shrinandnagar II, Near Vejalpur Bus Terminus",Ahmedabad, 380051,Gujarat,"  91-79-26829129, 91-79-26820326", grass@icenet.net,, Anila R. Dholakia,"Purpose: Environment, Human Rights, Poverty, Training, Women’s issues"," GRASS exists to empower rural women, to combat poverty, disasters, gender imbalances and social injustices. It visions a human kind, where women and men, live a life of equity, justice, peace, stability and freedom for all."
63,63,"GRASS – Gram Shakti Sramjivini Sangathan, Ahmedabad"," A-104, Sumadhur, II B/H Azad Society",Ahmedabad, 380015,Gujarat,  91-79-26763488, ar_dholakia@bsnl.in,, Anila R. Dholakia,"Purpose: Environment, human rights, poverty, training, agriculture, water, health (HIV AIDS), women’s issues."," GRASS Exists to empower rural and urban women, to combat poverty, disasters, gender imbalances and social injustices. It visions a human kind, where women and men, live a life of equity, justice, peace, stability and freedom for all."
64,64,"Greenfield Foundation, Ahmedabad"," 3, Pratapkunj Society, Wasna",Ahmedabad, 380007,Gujarat,  91-79-26634101, info@greenfield-ngo.org, http://www.greenfield-ngo.org, Kashyap Bhatt,"Purpose: Agriculture, rural development, employment creation.", Combating starvation and deforestation by introducing us and canadian patented solar and wind powered greenhouses through micro finance projects.
65,65,"Growup Education Society, Ahmedabad","Add : 39, Kaveri Comlex, Opp Rto Circle, Subhashbridge",Ahmedabad,Gujarat,380027,Mobile : 95865 52548 Tel : 079-27561849,Email : growupeducation001@gmail.com,Website : www.growupeducationsociety.com,Contact Person : Chinmay Shah," Development (General), Disability, Education, Employment, Labour, Library, Mentally Handicapped Persons, Orphanage, Physically Disabled, Poverty, Public Administration.","Aim/Objective/Mission : The main objective of our ngo is to make people educated and specially work for the development of the mentally retarded, handicapped, blind, partly blind students and make them independent."
66,66,"Gujarat AIDS Awareness and Prevention-ISRCDE, Ahmedabad"," B02, Siddharchakra Apartments, Pritam Nagar",Ahmedabad, 380006,Gujarat,"  91-79-26575282, 91-79-26575962", gapad1@sancharnet.in, http://www.gap-isrcde.org, Radium Bhattacharya,"Purpose: Education, Health, Human Rights, Women’s issues", Gap is an organisation working to meet the challenge of HIV/AIDS. To increase the knowledge on HIV/AIDS; bring attitudinal and behavioural changes; provide high quality care and support in order to empower affected people to live and die with dignity are some of the highlights of its mission.
67,67,"Gujarat Cleft and Craniofacial Research Institute, Ahmedabad"," 415, Iscon Centre",Ahmedabad, 380015,Gujarat,  91-79-26925771, meenaximundra@yahoo.com, http://www.spreadingsmile.co.in, Meenaxi Mundra,Purpose: Treating cleft lip and cleft palate patients totally free of cost.," Creating awareness regarding the medical miracles and giving them comprehensive cleft cure that can change the life forever of patients suffering from congenital and acquired deformities irrespective of color, caste, creed or religion by organizing presentation, clinical and surgical camps independently or in co-ordination with various other social institutes in India."
68,68,"Gujarat Grassroots Innovation Augmentation Network, Ahmedabad"," B-2, Het Apartment, 126, Nehru Park",Ahmedabad, 380015,Gujarat,"  91-79-26759468, 91-79-26760398", gian@satyam.net.in, http://csf.colorado.edu/sristi/gian, Vineet Rai,Purpose: Development(General)," GIAN attempts to inculcate the innovative ethic in the mind of the young generation in particular and the whole society by creating role models out of grass-roots innovators. The primary object for which the Not-For-Profit GIAN society has been set up is to promote, organize and conduct any kind of programmes, schemes or activities to scout, document, augment innovations by small farmers, artisans, pastoralists etc., primarily in disadvantaged rural areas."
69,69,"Gujarat Housing Board Vasahat Mahamandal, Ahmedabad"," 11, Devpreet Comm. Complex, Opp. IIT Gandhi Nagar",Ahmedabad, 380005,Gujarat, 91-92283 67953 , ghbmahamandal@gmail.com,, Samir Mazumdar,Purpose:," To provide services to all residents of GHB Vasahat, Social Services, education activities etc."
70,70,"Gujarat Lok Seva Trust, Ahmedabad","Add : 3, Ram Apartment, Near Little Flower School, Bhattha, Paldi",Ahmedabad,Gujarat,380007,Mobile : 99136 93959 Tel : 079-26643377,Email : gujaratloksevatrust95@gmail.com,Website :,Contact Person : Jignesh Parikh, Social Work,"Aim/Objective/Mission : Our objectives are as under, to built old age centres and orphanage home make the toilets for schools & houses in rural area of india provide higher education to orphan student and try to make them ias, ips, etc. To stop the corruption to plant the trees parallel to railway lines out side city or town provide scholarship to girl student making ayurvedic hospitals and plantation for research and cure providing solar light in tribal and rural area where electricity notavailable. Educate and help the farmer for use of solar power for their agriculture connection of borewell at their farm. Create awareness to stop the wastage of food and water. Making gaushalas and panjarapole in different area."
71,71,"Gujarat Rajya Bal Kalyan Sangh, Ahmedabad"," Himavan, Opp. Shefali Centre, Paladi",Ahmedabad, 380007,Gujarat,  91-79-26577919,,, Bharatbhai S. Naik,"Purpose: Child welfare, Education, Food and Nutrition, Health, Human Rights, Information and Communications Technology, Minorities, Sustainable Development, Training, Women’s issues", Child Development is the main objective of the organisation. Our main activity is to educate the poor children. We also provide meals to the children during the school time.
72,72,"Gujarat State Crime Prevention Trust, Ahmedabad"," Near, Subhash Bridge",Ahmedabad, 380027,Gujarat,"  91-79-27458744, 91-79-27540535",,, Varshaben D. Amin,"Purpose: Child welfare, Education, Health, Law, Women’s issues"," The main goal of the organisation is to work for overall development and welfare of the vulnerable and unprivileged section of the community with wholestic approach. Constant increase in juvenile delinquent behavior and crime against women and children has become the serious concern of the trust. The major thrust is around bringing literacy, gender awareness, reproductive and health awareness and legal literacy."
73,73,"Gujarat Stree Kelvani Mandal, Ahmedabad"," Stree Kelavani Mandal Bhavan, Pritamnagar Pahelo Dhal, Ellis Bridge PO",Ahmedabad, 380006,Gujarat,  91-079-26576197,, http://www.gujaratstree.org, Chaturbhahi Patel,"Purpose: Education, Health, Training, Women’s issues"," The status of women is the most significant criterion of progress of any society or culture. Our upnishads expounded the idea of men and women as equal partners in life, each complementing the other, and incomplete without the other. But in later ages, women?s position in India gradually deteriorated. However, with the advent of the Britishers in India and with the spread of western education, there was a beginning of social reforms in the country."
74,74,"H.K. Computer, Ahmedabad"," Opp. Sarkhej, Railway Station",Ahmedabad, 382210,Gujarat, 91-98983 94197 , hktally@yahoo.com,, Chirag Patel,Purpose: Teaching, Computer teaching.
75,75,"HAMSAFAR, Ahmedabad"," 4, First Floor, Yash Plaza, Ajitmill Cross Road",Ahmedabad, 380023,Gujarat,  91-79-32444421, ham-safar@hotmail.com,, Rais Khan Pathan,Purpose: Serve mankind as religion.," Empowerment of educationally, socially, economically backward section of our society."
76,76,"Hemvina Charitable Trust, Ahmedabad","Add : 10, Crystal Bunglows, Opp. Dental College, Near Alaknanda Society, Ghuma, Manipur Road",Ahmedabad,Gujarat,382115,Mobile : 74900 39719 Tel :,Email : hemvinacharitabletrust@gmail.com,Website : www.hemvinacharitabletrust.org,Contact Person : Sandip Vacharajani," Adolescent Girls Welfare, Child Rights, Child Welfare, Corporate Social Responsibility, Development (General), Disability, E-Learning, Human Development, Human Rights, Information And Communications Technology.","Aim/Objective/Mission : Hemvina charitable trust is non-profit, non-commercial, voluntary organization dedicated to the welfare of the mentally challenged. So, we established a school cum workshop called divyang in 2015-16, the institute is managed by a team of committed professionals interested in the welfare of the mentally challenged. We operates a day-care for boys and girls with mental disability. Programs are designed in such manner that it will help students with basic life skills and fundamental concepts that will help them function as independently as possible on a day-to-day basis. The institute started with 2 students and now, today the institute is serving 11 mentally challenged students. We are providing two separate rooms for the educational and occupational purpose."
77,77,"Herva Foundation, Ahmedabad","Add : 12, Satyam Aprt, Bhaikakanagar, Thalej",Ahmedabad,Gujrat,380059,Mobile : 96620 21744 Tel : 079-26853931,Email : hervafoundation@gmail.com,Website : www.hervafoundation.org,Contact Person : P R Subramaniam," Health, Rural Development, Women Development Welfare.","Aim/Objective/Mission : Adoption of villages and provide healthcare treatment and education for precaution and prevention of sickness through proper healthcare awareness programme and with the use of technology mainly telemedicine, internet technology and use of modern gadgets. To provide toilets and pure drinking water facilities to the villagers. For village women empowerment – to teach and provide vocational training to enable them to generate extra income. All such things for the rural village development."
78,78,"Hindu Dharma Sabha Seva Trust, Naroda, Ahemedabad","Add : A/404, Avni Appartment, Giya Nagar, Opp. Union Co.Op. Bank Ltd.",Ahmedabad,Gujrat,382330,Mobile : 84900 54136 Tel : 079-22821703,Email : hindudharmasabha1@gmail.com,Website : www.hindudharmasabaha.com,Contact Person : Shailesh Panchal, Social Work.,"Aim/Objective/Mission : Educational objects, social objects, medical-health objects, cultural activities, natural man made incidental aluminates, rural development activities, women & child development activities, cultural training to the women, religious objects."
79,79,"Hindu Gau Raksha Dal, Ahmedabad"," 412, Rajkamal Complex-B, Income Tax B/h C.U. Shah Collage",Ahmedabad, 380014,Gujarat,  91-79-30027559, hindugaurakshadal@gmail.com,, Jagdish Kadia,Purpose: Save caw and safe woman.,
80,80,"Human Rights Foundationof India, Ahmedabad"," 19/92, Happy Home, Shashtri Nagar",Ahmedabad, 380063,Gujarat, 91-98240 13689 , shaival.tiwari@rediffmail.com,, Shiaval Tiwari,Purpose: Public awareness., Mission to work on all rights for all.
81,81,"Human Welfare Foundation, Ahmedabad","Add : E 206, Titanium City Centre, Opp. Seema Hall, Anandnagar Road",Ahmedabad,Gujrat,380015,Mobile : 81419 21022 Tel : 079-40031022,Email : info@hwfindia.net,Website : www.hwfindia.net,Contact Person : Parth Shah, Social Work.,Aim/Objective/Mission : Anti corruption awareness rti activity child education healthcare women empower old age people help and all type of awreness activty.
82,82,"Humanity Friends Organisation, Ahmedabad"," Nandan, 1, Nr. Prerndip Deserasar",Ahmedabad, 380015,Gujarat,  91-79-32988867, hum.frnds.org@gmail.com,, Ajay Kumar,Purpose: Helping old age peoples,
83,83,"ICECD, Ahmedabad"," Sterling City, Ahmedabad",Ahmedabad, 380000,Gujarat,  91-2717-230059, mail@icecd.org, http://www.icecd.org, Shital,Purpose:," To create a large pool of entrepreneurs through increasing their access over productive resources and foster the process of non-reversible developmental change. To enable socio-economic and political empowerment of the disadvantaged population, especially women."
84,84,"India Renal Foundation, Ahmedabad"," 309, 3th Floor, Shitiratna Complex, Panchvati Circle, off C.G Road",Ahmedabad,,Gujarat," 91-90995 14288  91-79-26420354, 91-79-26420355", irf@indiarenalfoundation.org, http://www.indiarenalfoundation.org, Purvi Shah,Purpose: Kidey awareness & kidney area.," Kidney awareness in people, prevention & rehabilation."
85,85,"Indian School of Microfinance for Women, Ahmedabad"," 2nd Floor Shukun Arcade, Nr Medisurge Hospital",Ahmedabad, 380006,Gujarat,  91-79-26442593, admin@ismw.org.in, http://www.ismw.org.in, Dr Joy Deshmukh Ranadive,Purpose: To address the capacity building requirements in the micro finance sector. Focus on the lives of women.," To emerge as a unique school, to strengthen and spread microfinance as a strategy for poverty alleviation through development of appropriate knowledge and skilled human resources. Build as institute of international repute, enhance the capacity of the sector, provide thrust to micro finance practice and thinking, conducive environment for strengthening and spreading microfinance through policy advocacy, be an educational innovator."
86,86,"Institute for Development Education and Learning, Ahmedabad"," B 4/1, Sahajanand Tower, Jivaraj Park",Ahmedabad, 380051,Gujarat,"  91-79-26811802, 91-79-26811525", ideal-india@icenet.net,, Ashok Bhargava,"Purpose: Education, Health, Training", IDEAL believes that Knowledge of power and that people can get empowered through learning. IDEAL helps the deprived people and workers of voluntary agencies acquire skills and knowledge through training programmes. It prepares health education and training material for poor people and health workers.
87,87,"Institute for Studies and Transformation, Ahmedabad"," 1, Rajlaxmi Bhavan, Near New Gayatri Mandir",Ahmedabad, 380013,Gujarat,  91-79-27559060, jagdish_nazareth@hotmail.com,, Jagdish Nazareth,Purpose: Sustainable Development," To work towards the creation of a human order in society founded on universal love for all creatures and justice based on this love expressed in care for the disadvantaged, needy, deprived and those suffering the long term effects of catastrophe, violence, oppression and inhumanity."
88,88,"International Centre for Entrepreneurship and Career Development, Ahmedabad"," 1, Tapovan Society, Nehrunagar Char Rasta",Ahmedabad, 380015,Gujarat,"  91-79-26421887, 91-79-26568603", ICECD@ad1.vsnl.net.in, http://www.icecd.org, HinaShah,"Purpose: Micro-enterprises, Women’s issues", ICECD works towards the upliftment of the status of women in society by leading them towards economic independence; Encourages women to adopt participatory methodology; Identifies projects for new enterprises.
89,89,"IRHA – International Rural Health Association, Ahmedabad","Add:?F-34, Vijay Plaza, Opp. Abad Dairy, Kankaria",Ahmedabad,Pin : 380022,Gujarat,"Mobile : 9825653625, 9426561567 Phone :",?drjdchauhan@gmail.com / irhaahmedabad@gmail.com,"?www.intrha.org, www.pmcog.com",Contact:?Dr. Janaksinh D. Chauhan,Purpose:?Education (skill development / job creation) and Services To Mankind,Aim/Objective/Mission:? To Facilitate The Skill In Health Care Domain
90,90,"Islah Foundation Trust, Ahmedabad"," 89/1509, Sundaram Nagar",Ahmedabad, 380023,Gujarat, 91-99980 61927 , islahfoundatio@hotmail.com,, Kaleem Siddiqui,Purpose: Upliftment of minorities., Empowerment of minorities in the field of education.
91,91,"Jagruti Vikas Trust, Ahmedabad","Add : A-404, Mulberry Habitat, New CG Road, Chandkheda",Ahmedabad,Gujarat,382424,Mobile : 98240 36322 Tel :,Email : jagrutivikastrust35@gmail.com,Website : www.jagrutivikastrust.org,Contact Person : Manish Chauhan," Child Rights, Child Welfare, Women Development/Welfare, Women’S Issues.","Aim/Objective/Mission : Agruti vikas trust works in the areas on the issue of protection of women against domestic violence in marginalized communities. Secondly, we also work for child education, peace and communal harmony. In the initial years we have been supported by the local community and donors. With times jagruti has moved to rights-based approach from a service delivery model. As per the need of the area and requirement of the people, this organization has decided to focus on awareness of the people about their rights and entitlements and to create a healthier society especially for marginalized women and children. By the process of rethinking on the perspective, Jagruti Vikas Trust has also decided to expand its work through establishing field centers and sub centers. The approach of jagruti vikas trust has been to mobilize the marginalized communities and make them aware of their rights and entitlements by forming and strengthening their community based organization such as women self help groups and village development committees. These cbos raise various issues that are the root cause of the disempowering and marginalization of their community of the area. The local resource persons were identified for providing issue-based awareness to the cbos. They were identified and the leaders were trained on related issues like nrega, food entitlements, right of women to own land and property etc. Jagruti vikas trust is working with an overall mission to develop self-reliant communities through a self-help approach particularly for women. Our strategy includes implementing programs on improving economic status, holistic health and hygiene, strengthening the earning capacity of women. Promote activities relating to the women empowerment in rural communities as well as urban and semi urban areas. Strengthen people s institutions at the village level. Enhance empowerment of local women through holistic health, economic empowerment and education. As our organization starts to expand geographically, the field centers will be established."
92,92,"Jan Kalyan Vikas Trust, Shahibaug"," Shahibaug, Shahibaug",Ahmedabad, 380018,Gujarat, , vishaljoshi2848@yahoo.co.in,, Vishal Joshi,Purpose:, We are doing activities for the upliftment of children who are poor. We provide him the education and even to their parents as well.
93,93,"Janmangal Charitable Trust, Ahmedabad"," 217, Ashopalav Flet, G.I.D.C. Naroda",Ahmedabad, 382330,Gujarat, 91-97250 45731 , janmangal_1997@yahoo.in,," Kishor Raval, Mantri",Purpose:," Education, health, water, women empowerment, rural development."
94,94,"Janpath, Ahmedabad"," B/3-1, Sahjanand Towers, Jivraj Park",Ahmedabad, 380051,Gujarat,  91-79-26813029,,, Vijayprakash Jani,"Purpose: Disadvantaged communities, Information and Communications Technology"," Janpath is a network of voluntary organisations working for the various developmental issues of the poor in Gujarat. It acts as a centre of exchange of ideas, which can fulfill the needs of the progressive activists working with the marginalised and poor for their empowerment and development."
95,95,"Jay Maadi Foundation, Ahmedabad"," 16, Shriji Nagar, Part 2",Ahmedabad, 382480,Gujarat, 91-98250 20032 , jmf_ngo@yahoo.com,, Mukesh Pancholi,Purpose: All kind of awareness., To aware people for there rights. Awareness about Aids in slams & rural areas. Our mission is zero illiteracy in India.
96,96,"Jayshil Foundation, Ahmedabad"," 20, Jyotikalash Society, Satelite Road",Ahmedabad, 380015,Gujarat, 91-93282 22057  91-79-26924350, vansh_dave@yahoo.com,, Dharmesh Dave,Purpose: Women & child development," Self dependent women, social welfare and protecting child abuse."
97,97,"JMF – Jay Maadi Foundation, Ahmedabad"," B-42, Vagheshwari Soc., Station Road, Chandlodia",Ahmedabad, 382481,Gujarat, 9227442208  91-79-32203040, jmf_ngo@yahoo.com,, Ankit Modi,Purpose: Awareness with livelihood., To aware people for there basic rights. Make them perfect for bright future. Make society aware about all things.
98,98,"Justice on Tribal, Ahmedabad"," 7, Trilok Row House, Opp. Paarmeshwar Mahadev Temple",Ahmedabad, 380054,Gujarat,"  91-79-65440695, 91-79-26840382", jotahd2008@gmail.com,, Jitendra Dave,Purpose: Human rights.," To promote protect defend human rights and freedom, establish supremacy of law and to implement vigorously the concept of Justice to all."
99,99,"Jyoti Sangh, Ahmedabad"," Tilak Marg Patthar, Kuva",Ahmedabad, 380001,Gujarat,"  91-79-25353908, 91-79-25332107",,,,Purpose:," Jyoti Sangh vision and mission is to help large number of women as much as possible and naturally the future plans are also based on the same motto. Considering the present situation it has been realised that there is a need to provide more jobs opportunities to women. To get a gainful employment or to start home bound economic activities, a woman has to equip themselves in some skills through training. Hence Jyoti Sangh plans to provide vocational training in various arts and handicrafts."
100,100,"Kaira Social Service Society, Ahmedabad"," C/o St. Xavier’s School Campus, hansol, Sardarnagar",Ahmedabad, 382475,Gujarat, 91-98259 53865  91-79-22861216, kairasss@gmail.com, http://www.kairasociety.org, Fr.Joseph Appavoo,"Purpose: Devolopment of the poor, promotion of child rights with special focus on girl child, health Hiv/Aids.", To restore human dignity of the poor and marginalised through a process of empowerment.
101,101,"Kalyan Mandir Trust, Ahmedabad"," A-201, Hare Krishna Complex, B/h City Gold Cinema",Ahmedabad, 380009,Gujarat, 91-96876 05109 , info@kalyanmandir.org, http://www.kalyanmandir.org, Yatin Patel,Purpose: Social services.," For the upbringing of society, do all works for education, animal husbandry and villages development activities. To look after senior citizens and to utilize their intellectual capacity and to work for arranging activities in their retired life. Arrange all activities for women?s development and self-respect earning for needy women of society. Education for all children of the society to spread information and support research in the area of agricultural development including animal husbandry, plantation, nursery development and work for spreading them. Production, sales, education and widespread development and create employment through them."
102,102,"Kamdar Swasthya Suraksha Mandal, Ahmedabad"," 2, Floor Binori Corner, Jivraj Over Bridage",Ahmedabad, 380051,Gujarat,  91-79-26611908," hp_ahd1@yahoo.co.in, kssmhp@gmail.com",, H. P. Mishra,Purpose: Contect building," We dream of a sovereign, secular and Caste-free society, where people can live with dignity, enjoying political, social and economic rights."
103,103,"Kanted Foundation, Ahmedabad"," 283/A, Nagorishala, Ratanpole, Kalupur",Ahmedabad, 380001,Gujarat, 91-93270 18101 , kantedfoundation@gmail.com,, Devang Kanter,Purpose: Educational," Health, cultural."
104,104,"Kumkum Educational Foundation, Ahmedabad"," Basement, Vardan Tower, Pragati Nagar, Naranpura",Ahmedabad, 380013,Gujarat, 91-98254 45678  91-79-27439193, piyush3969@gmail.com,, Piyush Dhandhraa,Purpose: Women empowerment., Women empowerment.
105,105,"Labh Foundation, Ahmedabad",Add : Chandlodia,Ahmedabad,Gujarat,382481,Mobile : 99747 28677 Tel :,Email : labhfoundation.guj@gmail.com,Website :,Contact Person : Dilip Goswami," Plantation, Pollution, Population, Poverty, Rehabilitation, Research, Rural Development, Sanitation, Self Help Groups, Sex Workers Welfare, Shelter Home, Social Awareness, Society And Economy, Sustainable Development, Right To Information, Traditional Health, Trafficking Of Women, Training, Tribal Development, Tribal Issues, Urban Development, Volunteers, Waste Management, Women’S Issues, Yoga, Youth.",Aim/Objective/Mission : Our aim is to develop the skill programme in rural area to who is unemployment and but the want to grow so that i will provide all kind of skill develop like computer hardware networking so that we can provide job opportunity in rural area and we will develop the skill of embroidery work to female only one kind of social economic condition will be grow. We also doing medical camp in rural area.
106,106,"Life Oriented Education Trust, Ahmedabad","Add : B/F-6, 9, 12, Radhe Shoping Mall, Khokhra Circle, Maninagar (East),",Ahmedabad,Gujarat,380008,"Mobile : 98246 70602, 97250 76387, 80000 36056 Tel : 079-65930602",Email : loetrust@gmail.com,Website : www.lifeorientededucationtrust.org,"Contact Person : Gunvant Mistry, Mukesh Patel, Kalpesh Chavda"," Energy, Environment, Fair Trade, Food And Nutrition, Forest Management, Forestry, Gender, General – Social Welfare, Governance, Grants/Aids, Group Promotion, Health, Herbal Medicine, Hiv/Aids, Human Development, Human Rights, Indigenous Knowledge, Industry, Information And Communications Technology, Infrastructure, Installation Of Borewells, Intellectual Property, Irrigation, Labour, Law, Legal Awareness, Library, Livelihood, Local Administration, Local Self Governance (Panchayati Raj), Media, Medical Relief, Mentally Handicapped Persons, Micro-Enterprises, Minorities, Natural Resource Management, Ngo Management, Old Aged Welfare, Orphanage, Peace, Physically Disabled, Plantation, Pollution, Population, Poverty, Public Administration, Rehabilitation, Research, Rural Development.",Aim/Objective/Mission : Help every one who need.
107,107,"Loksewa Foundation, Ahmedabad"," 3, Sangath Appts, Opp State Bank of Shavrashtra, C C Road, Navrangpura",Ahmedabad, 380009,Gujarat,  91-79-26430622,,, Bhimjibhai Nakrani,"Purpose: Agriculture, Education, Environment, Rural Development, Water", Our dream is to have a society where love and justice prevail. This can only be done if we start working at the lowest level. Our main aim is to educate people. Tell them more about the environment they live in and forest conservation.
108,108,"M G Patel Sarvoday Kendra, Ahmedabad"," 106, Maniprabhu Appts, Navrangpura Six Road, Navrangpura",Ahmedabad, 380014,Gujarat,"  91-79-26423491, 91-79-26423491", shramik@icenet.net,, Mr Hasmukhbhai Patel,"Purpose: Agriculture, Education, Poverty, Urban Development, Water, Women’s issues"," Main aim of the organisation is to increase empowerment of women in every field. Give them education, Educate farmers with new techniques of farming and train them to be responsible citizens."
109,109,"Mahila Punarutthan Sangh, Ahmedabad"," Punarutthan Hall, 1 Lakmi Colony",Ahmedabad, 380022,Gujarat,  91-79-25326776,,, Jagannath Vohra,"Purpose: Urban Development, Women’s issues", The organisation basically works for the social and political awakening of the women. It also forms networks with other organisations working in the same field to help reach the target population in a better and faster way.
110,110,"Mahila Samakhya Gujarat, Ahmedabad"," Hostel Building, Govt. Polytechnic Campus, Ambavadi",Ahmedabad, 380015,Gujarat,"  91-79-26302935, 91-79-26306762", msgspd@icenet.net,, Kumari Manda Rishi,"Purpose: Development(General), Education, Environment, Forestry, Grants/Aids, Health, Micro-enterprises, Women’s issues"," MSG empowers rural women through awareness programmes and sensitizes them on various gender issues and gives them feminist perspective through programme on literacy, legal literacy and health. It makes them aware of their rights and teaches them to be self reliant. It also provides Grants/Aids for various research gender based projects."
111,111,"Mahila Vikas Manch, Ahmedabad"," Near Ravalvas Corner, Post Office Road, Sarkhej",Ahmedabad, 382210,Gujarat, 91-99988 79829  91-79-26820582, mahilavikasmanch@gmail.com,, Malvat Sabera,Purpose: Women awareness and vocational training for under poverty line women.," Women awareness, vocational training for women, give apropar gidence of any social problem, awareness of social issue, health, human right, women empowerment."
112,112,"Mahipatram Roopram Asham, Ahmedabad"," Raipur Gate, Raipur",Ahmedabad, 350022,Gujarat,"  91-79-25454007, 91-79-25454315",,, Mr Vijaybhai Pandit,"Purpose: Child welfare, Education, Food and Nutrition, Health, Women’s issues", This organisation is concerned about kids. They take care of 260 children who are poor and cannot effort primary education. They take care of them in every field and help them to stand on their feet.
113,113,"Mahiti Rural Development Centre, Ahmedabad"," G 2/1, Om Shantinagar, Nr. Shrinandnagar II, Tagore Road, Vejalpur",Ahmedabad, 380051,Gujarat, 91-95588 03902  91-79-26811003, mahiti@sancharnet.in, http://www.mahiti-gujarat.org, Dinesh Pandya,"Purpose: Envisaging a just society without oppression, discrimination, injustice by abolishing discrimination."," Mahiti?s mission is to empower the poor, discriminated and marginalized communities with focus on women to bring about concrete and sustainable changes in their lives and also to address issues of injustice through strong organization of people and their leadership. To empower women and youth by strengthening leadership for effective political participation and to fight against social injustice. To develop natural resources and to promote better access and control over natural resources for the marginalized communities."
114,114,"Mahiti, Dholera, Ahmedabad","Add :Bhim Talav, Rahtalav Road, Dholera",Ahmedabad,Gujrat,382455,"Mobile : 95588 03902 Tel : 02713-293071, 02713-313437",Email : mahiti@bsnl.in,Website : www.mahiti-Gujrat.org,Contact Person : Dinesh Pandya, Social Work.,"Aim/Objective/Mission : Introduction since 1981, mahiti ? rural development centre has been working as a grass-root organization. In 1994, it was formally registered as a society and public charitable trust. It works in the most difficult area of bhal region which consists of coastal area of Ahmedabad, Bhavngar, Surendranagar and Anand district of Gujrat state, India. Bhal is a region where salinity ingress is very high, the land is very saline, the ground water is saline and has no irrigation facilities. This area also has a very strong caste system and is still dominated by the culture of feudalism. Mahiti works for the rights of specific social groups called dalits (scheduled caste) and kolis (other backward caste) with focus on women. Mahiti focuses on mobilizing and organizing the poor, discriminated and marginalized communities in accessing their rights and development through empowerment and human rights based approach. Vision envisaging a just society without oppression, discrimination, injustice by abolishing discriminations created by unjust social structures and to improve the livings standards of exploited / marginalized sections whiles making them self-reliant in Gujrat state, Indiamission mahiti?s mission is to empower the poor, discriminated and marginalized communities with focus on women to bring about concrete and sustainable changes in their lives and also to address issues of injustice through strong organization of people and their leadership. Objectives empower women and youth by strengthening leadership for effective political participation and to fight against social injustice. Develop natural resources and to promote better access and control over natural resources for the marginalized communities. Develop local resources to strengthen livelihood options for the marginalized communities. Improve and provide civic amenities improve and provide health facilities mobilize women to address the issues of marginalized communities. Thrust areas / strategic programs socio-economic empowerment of the poor discriminated and marginalized communities with focus on women area level women?s savings & credit cooperatives as a medium for empowerment. Facilitating integrated development programmes by mobilizing government and other resources for sustainable livelihood for these communities. Addressing issue of drinking water through innovative experiment and policy advocacy. Promoting and strengthening community based health programmes. Creating spaces and developing vocational skills for youth for their development. Community based disaster mitigation programme. Social justice programs developing, capacitating and supporting a cadre of voluntary leaders for social action which addresses issues of discrimination, atrocities and other forms of injustices. Legal aid & counseling centre."
115,115,"Manas Charitable Trust, Ahmedabad"," B/3, Gokulnagar, Nr. Torrent Power, Amraivadi",Ahmedabad, 380026,Gujarat, 91-99252 75091 , mctindia@yahoo.co.in,, Nayan Solanki,Purpose: Working for disable welfare & mental health., Help to needy person.
116,116,"Manav Sadhana Trust, Ahmedabad"," Gandhi Ashram, Sabarmati",Ahmedabad, 380027,Gujarat,"  91-79-27560002, 91-79-27558052", manvsadhna@iccnet.net,, Anarben Patel,"Purpose: Child welfare, Education, Training"," Manav Sadhana is a charitable institute working towards the upliftment of under privileged women and children. It is founded on the Guardian principal of truth, non-violence and peace. Manav Sadhana, as the name implies, is our dedicated effort to serve mankind, run in a quiet corner of Gandhi Ashram on the banks of river Sabarmati."
117,117,"Manthan Educational Programme Society, Ahmedabad"," C-1, Sukruti, Manekbagh",Ahmedabad, 380015,Gujarat, 91-98250 62409 , abhay.manthan@gmail.com, http://www.manthanindia.org, Abhay Kothari,Purpose: Science Communication.," Manthan Educational Programme Society designs, develops and executes ideas and concepts for spreading science in the country and world wide. We develop science exhibitions, science activity kits, entrepreneurship trainings. Our focus is on hands on science. Manthan also runs a science centre in Narmada district called Manthan Lok Vigyan Kendra."
118,118,"MARAG, Ahmedabad", Ahmedabad,Ahmedabad, 380054,Gujarat, 91-94274 98492  91-79-27912492, maragindia@rediffmail.com, http://www.marag.org, Neeta Pandya,Purpose: Right base, Overcome valnarability of deprived people.
119,119,"Mohsin S. Turner, Ahmadabad"," Susana Bldg, Opp. Kalyaniwad",Ahmadabad, 380001,Gujarat, 91-98989 90409 , khanpurwelfare_trust@ymail.com,, Danish,Purpose: Welfare of the society.," To provide food shelter, clothes, scholarship and moral support to poor people."
